
# === PHASE 2: GRADIENT TEST ===
# Place robot at black end of gradient strip.
# Push robot slowly along gradient.
# Press B to start logging, B again to stop.
# Press A when done to skip to Phase 3.
#
# HEADER: gradient_id, timestamp_ms, enc_left, enc_right, s0, s1, s2, s3, s4
# Gradient 1 — logging started.  Push robot now.  Press B to stop.
1,360788,0,0,954,949,933,953,946
1,360798,0,0,955,950,934,962,949
1,360808,0,0,950,947,932,952,938
1,360818,0,0,962,957,940,949,935
1,360828,0,0,966,960,943,961,945
1,360838,0,0,957,951,935,955,939
1,360848,0,0,956,951,935,954,939
1,360858,0,0,957,951,935,954,939
1,360868,0,0,957,951,934,954,939
1,360878,0,0,956,951,935,955,939
1,360888,0,0,956,951,935,955,939
1,360898,0,0,956,951,935,954,939
1,360908,0,0,957,951,935,954,939
1,360918,0,0,956,951,935,954,939
1,360928,0,0,956,951,935,954,939
1,360938,0,0,956,951,934,954,939
1,360948,0,0,956,951,934,954,939
1,360958,0,0,956,951,934,954,939
1,360968,0,0,956,951,934,954,939
1,360978,0,0,956,951,934,954,939
1,360988,0,0,956,951,934,954,939
1,360998,0,0,956,951,934,954,939
1,361008,0,0,956,951,935,954,939
1,361018,0,0,956,951,934,954,939
1,361028,0,0,956,951,935,954,939
1,361038,0,0,956,951,935,954,939
1,361048,0,0,956,951,935,955,939
1,361058,0,0,956,951,935,954,939
1,361068,0,0,956,951,935,955,939
1,361078,0,0,956,951,935,954,939
1,361088,0,0,956,951,935,954,939
1,361098,0,0,956,951,935,955,939
1,361108,0,0,956,951,935,955,939
1,361118,0,0,956,951,935,954,939
1,361128,0,0,956,951,935,955,939
1,361138,0,0,956,951,935,954,939
1,361148,0,0,956,951,935,954,939
1,361158,0,0,956,951,935,954,939
1,361168,0,0,956,951,935,954,939
1,361178,0,0,956,951,935,954,939
1,361188,0,0,956,951,935,954,939
1,361198,0,0,956,951,934,954,939
1,361208,0,0,956,951,935,954,939
1,361218,0,0,956,951,935,954,939
1,361228,0,0,956,951,935,954,939
1,361238,0,0,956,951,934,954,939
1,361248,0,0,956,951,934,954,939
1,361259,0,0,956,951,934,954,939
1,361269,0,0,956,951,934,954,939
1,361279,0,0,956,951,935,954,939
1,361289,0,0,956,951,935,954,939
1,361299,0,0,956,951,934,954,939
1,361309,0,0,956,951,935,954,939
1,361319,0,0,956,951,935,954,939
1,361329,0,0,956,951,935,954,939
1,361339,0,0,956,951,935,954,939
1,361349,0,0,956,951,935,955,940
1,361359,1,0,957,951,934,954,939
1,361369,2,0,957,951,934,954,939
1,361379,4,1,957,951,933,954,939
1,361389,5,1,958,951,933,954,939
1,361399,6,2,958,951,932,954,939
1,361409,7,4,959,951,933,954,939
1,361419,8,5,958,951,933,953,940
1,361430,10,6,958,950,934,953,940
1,361440,12,7,958,950,934,952,940
1,361450,13,9,958,950,935,953,941
1,361460,15,11,958,949,936,953,941
1,361470,17,13,958,950,935,953,942
1,361480,19,14,959,950,934,953,942
1,361490,20,16,959,950,931,953,942
1,361500,22,18,960,950,929,953,942
1,361510,24,20,961,948,929,954,941
1,361520,26,21,961,946,929,954,941
1,361530,28,23,961,946,929,953,941
1,361540,29,25,961,946,928,953,941
1,361550,31,27,962,946,928,953,941
1,361560,33,29,962,946,927,952,942
1,361570,35,30,961,945,926,952,942
1,361580,37,32,961,946,924,951,941
1,361590,39,34,960,945,923,950,941
1,361600,40,36,959,944,922,949,941
1,361610,42,38,959,944,921,948,941
1,361620,44,40,958,943,920,947,941
1,361630,45,42,958,942,919,947,940
1,361640,47,44,958,941,918,946,940
1,361650,49,46,957,940,917,946,939
1,361660,51,47,957,939,916,944,940
1,361670,52,49,956,938,915,943,940
1,361680,54,51,956,938,915,942,941
1,361690,56,53,956,937,914,942,941
1,361700,58,54,956,935,913,941,941
1,361710,60,56,955,934,912,940,941
1,361720,61,58,954,933,911,939,942
1,361730,63,59,953,932,910,939,943
1,361740,65,61,952,931,908,938,942
1,361750,67,63,952,931,908,938,940
1,361760,69,65,951,930,906,937,938
1,361771,70,66,951,929,905,936,937
1,361781,72,68,951,927,903,935,937
1,361791,74,70,951,926,902,935,935
1,361801,77,72,951,925,900,934,933
1,361811,79,74,952,923,898,932,931
1,361821,81,76,951,923,898,931,931
1,361831,83,78,951,922,897,931,931
1,361841,85,81,949,921,896,930,931
1,361851,88,83,948,920,895,929,930
1,361861,89,85,947,919,894,928,929
1,361871,92,87,947,918,893,927,928
1,361881,93,89,946,917,892,926,927
1,361891,95,91,946,916,891,925,926
1,361901,97,93,946,915,891,924,924
1,361911,98,95,945,914,890,924,923
1,361921,100,97,944,913,889,924,922
1,361931,102,99,943,913,889,923,921
1,361942,103,101,943,914,888,923,920
1,361952,105,103,942,914,888,923,920
1,361962,106,105,941,913,887,922,919
1,361972,108,106,941,913,886,922,918
1,361982,109,108,941,912,886,922,917
1,361992,110,109,940,912,885,921,916
1,362002,112,111,940,911,885,921,916
1,362012,113,112,939,911,884,920,914
1,362022,114,114,939,910,883,919,914
1,362032,115,115,939,910,883,919,913
1,362042,116,117,939,910,882,918,912
1,362052,118,118,939,909,881,917,912
1,362062,119,119,939,908,881,917,911
1,362072,120,121,938,908,880,916,911
1,362082,121,122,938,907,879,916,911
1,362092,123,124,937,906,878,915,911
1,362102,124,125,936,905,877,915,910
1,362112,125,127,936,905,876,914,910
1,362122,127,128,936,904,874,914,909
1,362132,128,130,935,904,872,912,909
1,362142,130,132,934,903,870,912,908
1,362152,131,134,934,902,868,910,908
1,362162,133,135,933,901,865,908,907
1,362172,134,137,933,900,860,907,907
1,362182,136,139,932,897,854,903,906
1,362192,139,141,931,895,851,899,905
1,362202,140,143,930,892,853,895,905
1,362212,143,145,930,887,856,895,905
1,362222,145,147,930,885,857,897,906
1,362232,147,149,929,885,857,898,907
1,362242,149,151,929,887,857,899,907
1,362252,151,153,928,889,855,899,908
1,362262,153,156,927,889,853,898,908
1,362272,156,158,926,888,851,896,908
1,362283,159,160,925,886,847,894,907
1,362293,161,162,925,884,844,892,907
1,362303,163,165,924,882,841,890,907
1,362313,165,167,923,879,837,887,906
1,362323,168,169,923,877,834,885,905
1,362333,170,172,922,874,831,883,904
1,362343,173,174,921,871,828,881,903
1,362353,175,176,920,869,827,880,901
1,362363,177,178,919,867,824,879,898
1,362373,180,180,918,866,823,878,900
1,362383,182,182,916,864,819,876,902
1,362393,184,184,914,861,816,874,903
1,362403,186,186,913,859,813,872,903
1,362413,188,188,911,857,811,869,903
1,362423,190,190,911,855,808,867,902
1,362433,192,192,912,853,805,865,902
1,362443,194,194,912,850,802,863,900
